X (cm)	Y (cm)	Z (cm)	P imp (mbar)	Mach	T jet (K)	P Jet (mbar)	D (^16 cm-3)	Flow (SLm)	Tres (K)	Gamma	Pres (mbar)	Pchm (mbar)
1	0	0	9.453	4.348	40.107	0.335	5.974	4.001	293	1.667	48.244	0.233
2	0	0	8.873	4.464	38.326	0.299	5.573	3.994	293	1.667	48.177	0.233
3	0	0	7.642	4.743	34.456	0.228	4.736	3.994	293	1.667	48.028	0.233
4	0	0	6.402	5.103	30.254	0.165	3.911	3.994	293	1.667	48.201	0.233
5	0	0	6.234	5.167	29.586	0.157	3.8	3.994	293	1.667	48.426	0.233
6	0	0	6.513	5.077	30.527	0.17	3.983	3.994	293	1.667	48.427	0.233
7	0	0	6.707	5.025	31.103	0.179	4.109	3.994	293	1.667	48.583	0.233
8	0	0	6.734	5.012	31.248	0.18	4.128	3.994	293	1.667	48.466	0.233
9	0	0	6.593	5.044	30.886	0.174	4.037	3.994	293	1.667	48.229	0.233
10	0	0	7.108	4.894	32.599	0.199	4.378	3.994	293	1.667	48.236	0.233
11	0	0	8.007	4.667	35.454	0.247	4.979	3.994	293	1.667	48.374	0.233
12	0	0	8.414	4.576	36.702	0.27	5.255	3.994	293	1.667	48.476	0.233
13	0	0	8.334	4.593	36.465	0.265	5.201	3.988	293	1.667	48.442	0.232
14	0	0	7.751	4.727	34.668	0.233	4.807	3.994	293	1.667	48.298	0.232
15	0	0	6.924	4.948	31.966	0.19	4.255	3.994	293	1.667	48.279	0.232
16	0	0	6.4	5.103	30.255	0.165	3.91	4.001	293	1.667	48.183	0.232
17	0	0	5.954	5.255	28.701	0.145	3.618	3.994	293	1.667	48.254	0.232
18	0	0	5.988	5.237	28.871	0.147	3.641	3.994	293	1.667	48.134	0.232
19	0	0	5.907	5.267	28.58	0.143	3.589	3.994	293	1.667	48.167	0.232
20	0	0	6.173	5.179	29.456	0.155	3.761	4.001	293	1.667	48.246	0.232
21	0	0	6.134	5.189	29.358	0.153	3.736	4.001	293	1.667	48.166	0.232
22	0	0	6.604	5.04	30.929	0.175	4.044	3.994	293	1.667	48.214	0.232
23	0	0	6.895	4.956	31.876	0.189	4.236	3.994	293	1.667	48.265	0.232
24	0	0	7.012	4.919	32.307	0.195	4.314	3.994	293	1.667	48.179	0.232
25	0	0	6.981	4.929	32.184	0.193	4.293	3.994	293	1.667	48.225	0.232
26	0	0	6.606	5.044	30.887	0.175	4.045	3.994	293	1.667	48.323	0.232
27	0	0	6.168	5.182	29.433	0.155	3.758	3.994	293	1.667	48.263	0.232
28	0	0	5.767	5.322	28.049	0.137	3.497	3.994	293	1.667	48.28	0.232
29	0	0	5.514	5.416	27.172	0.127	3.334	4.001	293	1.667	48.272	0.232
30	0	0	5.477	5.435	27.002	0.125	3.31	3.994	293	1.667	48.372	0.232
31	0	0	5.301	5.5	26.426	0.118	3.197	3.994	293	1.667	48.265	0.232
32	0	0	5.799	5.312	28.148	0.138	3.518	3.994	293	1.667	48.305	0.232
33	0	0	5.665	5.363	27.659	0.133	3.431	3.994	293	1.667	48.361	0.232
34	0	0	6.011	5.237	28.874	0.148	3.655	3.994	293	1.667	48.311	0.231
35	0	0	6.167	5.185	29.403	0.154	3.756	3.994	293	1.667	48.316	0.231
36	0	0	6.142	5.192	29.332	0.153	3.741	3.994	293	1.667	48.292	0.232
37	0	0	5.784	5.32	28.064	0.138	3.507	3.994	293	1.667	48.378	0.231
38	0	0	5.715	5.345	27.828	0.135	3.463	4.001	293	1.667	48.378	0.232
39	0	0	5.295	5.51	26.332	0.118	3.192	3.988	293	1.667	48.447	0.232
40	0	0	5.18	5.557	25.932	0.113	3.119	3.994	293	1.667	48.431	0.231
41	0	0	5.034	5.621	25.396	0.107	3.026	4.001	293	1.667	48.474	0.231
42	0	0	4.911	5.671	24.984	0.103	2.948	3.994	293	1.667	48.403	0.231
43	0	0	5.018	5.623	25.382	0.107	3.016	3.994	293	1.667	48.358	0.231
44	0	0	5.234	5.526	26.197	0.116	3.155	3.994	293	1.667	48.241	0.231
45	0	0	5.087	5.593	25.624	0.11	3.06	3.994	293	1.667	48.374	0.231
46	0	0	4.971	5.636	25.269	0.106	2.987	3.994	293	1.667	48.213	0.231
47	0	0	5.158	5.562	25.887	0.112	3.105	4.001	293	1.667	48.343	0.231
48	0	0	4.987	5.632	25.307	0.106	2.997	3.994	293	1.667	48.266	0.231
49	0	0	4.992	5.629	25.329	0.106	3	3.994	293	1.667	48.257	0.231
50	0	0	4.829	5.703	24.732	0.1	2.896	4.001	293	1.667	48.282	0.231
